category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link,
Phụ kiện điện thoại & máy tính bảng,Lương Thị Thanh Yến,80.000 ₫,-29%,56800,-14,3.7,"[sdp] [SẠC CHUẨN DUNG LƯỢNG 30000 MAH] - PIN SẠC DỰ PHÒNG 30000MAH THIẾT KẾ MẶT KÍNH CƯỜNG LỰC CHỐNG VA ĐẬP TỐT - PIN BỀN, SẠC CỰC NHANH THÍCH HỢP TẤT CẢ CÁC ĐT Dũng YenLuong",49 Đã bán,https://www.lazada.vn/products/pdp-i1299671402.html,
Phụ kiện điện thoại & máy tính bảng,Linh Kiện Pin 247 HCM,145.000 ₫,-46%,78300,-11,5,"LK247 Mạch Sạc Nhanh Dự Phòng QC5A 22.5W Max Sạc Nhanh 2 Chiều Type-C tích hợp Bảo Vệ pin 3.7v 18650, 21700 pin lipo 10.000mah",47 Đã bán,https://www.lazada.vn/products/pdp-i3065523239.html,
Phụ kiện điện thoại & máy tính bảng,MỘC ÂN SHOP TPHCM,178.000 ₫,-54%,81880,-19,4.8,"[KÈM CÁP SẠC - SALE XÃ KHO] SẠC DỰ PHÒNG LCD MÀN HÌNH GƯƠNG CAO CẤP - PIN DỰ PHÒNG 30000MAH - PIN SẠC DỰ PHÒNG MẶT GƯƠNG, 2 CỔNG SẠC, SẠC MỌI DÒNG ĐIỆN THOẠI - SẠC DỰ PHÒNG GƯƠNG ĐEN GIÁ SỐC",30 Đã bán,https://www.lazada.vn/products/pdp-i3178797515.html,
Điện,Jianak,,,,,,Bộ đếm điện tử 5 chữ số BEM-5C dùng trong công nghiệp,10 Đã bán,https://www.lazada.vn/products/pdp-i2494217153.html,
Trang trí nhà cửa,Mickeyshop,,,,-2,5,"Đồng Hồ Để Bàn LED Màn Hình LCD Báo Thức, Cảm Biến Âm Thanh",,https://www.lazada.vn/products/pdp-i3071080375.html,
Phụ kiện điện thoại & máy tính bảng,goojodoqstore.vn,450.000 ₫,-46%,243000,-144,4.8,"sạc dự phòng GOOJODOQ 20000mAh PD 22.5W sạc nhanh, đi kèm 4 dây ,Đèn pin độ sáng cao Sạc Pin Phụ Kiện,Power Bank",518 Đã bán,https://www.lazada.vn/products/pdp-i2717184317.html,
Phụ kiện Máy tính,EWEADN,859.000 ₫,-86%,120260,-13,4.8,"EWEADN | Chuột không dây AI M12 Series, Điều khiển bằng giọng nói, Nhập liệu & Dịch thuật, 2 chế độ, Pin sạc",43 Đã bán,https://www.lazada.vn/products/pdp-i3195359680.html,
Điện,Bull Socket,3.421.000 ₫,-60%,1368400,,,Bull | Bộ Chia Điện Nhanh Có Màn Hình Số Dễ Mang Đi,,https://www.lazada.vn/products/pdp-i3230354855.html,
Phụ kiện Máy tính,epoosuo,343.000 ₫,-67%,113190,-135,4.9,EPOOSUO | Chuột Chơi Game Không Dây Nhẹ Nhàng Im Lặng với Bluetooth Hai Chế Độ,9 Đã bán,https://www.lazada.vn/products/pdp-i3204502616.html,
Điện,EChipTECmall,289.200 ₫,-40%,173520,-89,4.9,Máy Kiểm Tra DC Type-C Hiển Thị Màu 10 Trong 1 Máy Kiểm Tra Bộ Sạc USB Điện Áp 4-30V Hiện Tại 0-5A Đồng Hồ Đo Điện Máy Dò Pin Di Động,245 Đã bán,https://www.lazada.vn/products/pdp-i817634805.html,
Thiết bị nhà bếp,Lebenlang Store,380.000 ₫,-34%,250800,-252,5,"Máy vắt cam mini Lebenlang LBL3383 công suất 40W, dung tích 500ml, bảo hành 2 năm - hàng chính hãng",583 Đã bán,https://www.lazada.vn/products/pdp-i2599522736.html,
Smartphones,ĐIỆN THOẠI GIÁ TỐT 39,2.200.000 ₫,-7%,2046000,-2,5,Xiaomi Redmi Note 12 Ram 8GB/128GB pin 5000 mAh máy chính hãng Vân tay Ok,,https://www.lazada.vn/products/pdp-i2995182489.html,
Điện,Bảo Hộ Thinksafe,276.000 ₫,-28%,198720,-15,4.9,"Đồng hồ đo điện vạn năng Total hiển thị 2000 - 4000 số RMS, AC/DC 0.8~600V, điện trở 600kΩ, tự động tắt nguồn - Thinksafe",36 Đã bán,https://www.lazada.vn/products/pdp-i2591489861.html,
Điện,Điện Hoàn Cầu,210.000 ₫,-1%,207900,-8,5,Công tơ điện tử 1 pha 2 dây CE-18G GELEX,45 Đã bán,https://www.lazada.vn/products/pdp-i2696488950.html,
Phụ kiện điện thoại & máy tính bảng,BEN BEN TPHCM,178.000 ₫,-53%,83660,-24,5,"[KÈM CÁP SẠC - SALE XÃ KHO] SẠC DỰ PHÒNG LCD MÀN HÌNH GƯƠNG CAO CẤP - PIN DỰ PHÒNG 30000MAH - PIN SẠC DỰ PHÒNG MẶT GƯƠNG, 2 CỔNG SẠC, SẠC MỌI DÒNG ĐIỆN THOẠI - SẠC DỰ PHÒNG GƯƠNG ĐEN GIÁ SỐC",29 Đã bán,https://www.lazada.vn/products/pdp-i3178901353.html,
Điện,Taiye Electric,91.000 ₫,-9%,82810,-73,4.7,Một pha LCD kỹ thuật số Đồng hồ đo năng lượng điện dds1108 có hoặc không có đèn nền kWh V một W wattmeter AC 230V 50/60Hz,110 Đã bán,https://www.lazada.vn/products/pdp-i2590657035.html,
Thiết bị nhà bếp,Elmich Vietnam,590.000 ₫,-42%,342200,-1315,4.9,(Chỉ 25-29.10)Ấm đun nước siêu tốc Smartcook ICS-3859,3.9K Đã bán,https://www.lazada.vn/products/pdp-i1686680854.html,
Điện,3celectronicstore,180.000 ₫,-36%,115200,-29,4.7,[FREESHIP🎁]Đồng hồ vạn năng DT9205A màn hình kỹ thuật số đồng hồ vạn năng thông minh Máy đo bảo dưỡng thợ điện chính xác cao,75 Đã bán,https://www.lazada.vn/products/pdp-i2279930254.html,
Thiết bị nhà bếp,Aishida,4.366.000 ₫,-77%,1004180,-8,4.5,"ASD | Nồi Áp Suất Điện Đa Năng ASD 5L, Mẫu Mới 2024, Tích Hợp Chức Năng Nấu Cơm, Hàng Chính Hãng",9 Đã bán,https://www.lazada.vn/products/pdp-i3216519683.html,
Điện,GlobalTechMart,543.000 ₫,-42%,314940,-21,5,MASTFUYI Mini Vạn Năng Kỹ Thuật Số Thông Minh Thợ Điện Bút Thử Điện Áp DC/AC Điện Dung Ohm Hz NCV Chuyên Nghiệp Multitester Cho DIY Điện Làm Việc,51 Đã bán,https://www.lazada.vn/products/pdp-i2843225444.html,
Điện,Bull Socket,1.238.000 ₫,-67%,408540,-1,4,Bull | Ổ Cắm Bàn Đa Năng Thẩm Mỹ Cao Sạc Nhanh 67W,,https://www.lazada.vn/products/pdp-i3221723549.html,
"Thiết bị sưởi, làm lạnh và thông gió",GIA DỤNG AN BÁCH,300.000 ₫,-20%,240000,-30,4.5,"ĐÈN SƯỞI NHÀ TẮM 3 BÓNG  KOTTMANN MODEL K3B-G, ĐÈN 3 BÓNG CAMAC CM03A CÔNG SUẤT 825W. BÓNG ĐÈN SƯỞI  R125 CÔNG SUẤT 275W HÀNG ĐẸP LOẠI 1",128 Đã bán,https://www.lazada.vn/products/pdp-i2872574785.html,
Điện,ĐAIVIETBIG,,,,,,Công Tơ Điện Tử Cao Cấp ĐÃ Kiểm Định EVN 1 Pha CHINT DDSU777 5(80)A,,https://www.lazada.vn/products/pdp-i2921114309.html,
Đồ gia dụng chăm sóc cá nhân,Housewares Center,569.000 ₫,-51%,278810,-1309,4.9,"(BẢO HÀNH 5 NĂM) Tông đơ cắt tóc không dây chuyên nghiệp Kemei 1995 Tăng Đơ Hớt Tóc, Máy Cắt Tóc Chuyên Nghiệp Gia Đình,Trẻ Em, màn LCD, chống rung, chống ồn",3.3K Đã bán,https://www.lazada.vn/products/pdp-i1761639185.html,
Điện,BUM STORE.,,,,,,"Ổ Điện Thông Minh Tích Hợp Cổng Usb Dây Dài 1m5, Ổ Cắm Usb Chất Liệu Nhựa Abs Chịu Nhiệt Có Công Tắc An Toàn Cho Bạn",,https://www.lazada.vn/products/pdp-i2665989377.html,
"Thiết bị sưởi, làm lạnh và thông gió",goojodoqstore.vn,900.000 ₫,-52%,432000,-136,4.9,"Quạt di động mini GOOJODOQ GFS007 5 cấp độ gió,4000mAh,Đèn LED Hiển Thị,cường độ gió tăng cường 10x, Sử Dụng Lên Đến 12H",456 Đã bán,https://www.lazada.vn/products/pdp-i3028067195.html,
Điện,Global Merch Park,316.000 ₫,-50%,158000,-8,5,ANENG SZ06 Đồng Hồ Vạn Năng Kỹ Thuật Số 2000 Đếm AC/DC Bút Thử Điện Áp DC Ohm Mini Thông Minh Multimetro Điện Chuyên Nghiệp Dụng Cụ,43 Đã bán,https://www.lazada.vn/products/pdp-i2713259600.html,
Điện,ĐIỆN TUẤN KHANG,325.000 ₫,-28%,234000,-1,5,[Ảnh thật] Công tơ điện tử 1 pha Nexus 5(60)A-5(80)A TH-92,9 Đã bán,https://www.lazada.vn/products/pdp-i2807100504.html,
Điện,Global Merch Park,254.000 ₫,-23%,195580,-128,4.9,Đồng Hồ Vạn Năng Kỹ Thuật Số Mini Thông Minh 4000 Đếm Vôn Kế RMS Với Phạm Vi Tự Động Để Kiểm Tra Điện Áp Liên Tục Điện Trở NCV Hộ Gia Đình,312 Đã bán,https://www.lazada.vn/products/pdp-i2465577025.html,
Nhà thông minh,Điện Tử Nhật Minh,600.000 ₫,-39%,366000,-12,4.7,"Công Tắc Tuya Thông Minh Wifi+Rf433, 1,2,3,4 Nút Viền Vàng Hình Vuông Smartlife Hẹn Giờ Điều Khiển Từ Xa Điều Khiển Giọng Nói",214 Đã bán,https://www.lazada.vn/products/pdp-i1771454411.html,
Phụ kiện Máy tính,KONG 3C STORE [vn],476.000 ₫,-35%,309400,-18,5,"APAYADO K61 Mini Wired Mechanical Keyboard, 61 Keys, Red/Blue Switch, Phantom RGB Lighting, 60% Portable, Hot-Swappable",56 Đã bán,https://www.lazada.vn/products/pdp-i2921286645.html,
Điện,ForesightOfficialStore,97.700 ₫,-41%,57643,,,Thiết Bị Kiểm Tra Vôn Kế 0-100A 3 Trong 1 Màn Hình LED 22mm AC 60-500V,,https://www.lazada.vn/products/pdp-i2811104281.html,
Dụng cụ đo lường,Electrical,179.000 ₫,-41%,105610,-1,5,"Công tơ điện tử 1 pha đa năng 80A đo công suất, điện áp, cường độ",,https://www.lazada.vn/products/pdp-i2120699108.html,
Điện thoại bàn,LeNgan _Store,399.000 ₫,-25%,299250,-70,4.7,"điện thoại A78 - A78 5G máy 2simram 8G/256G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt - PNB",87 Đã bán,https://www.lazada.vn/products/pdp-i3092974591.html,
Phụ kiện điện thoại & máy tính bảng,THANH CONG PLUS,269.000 ₫,-45%,147950,-21,4.3,"Pin dự phòng pin 20000mAh trong suốt dung lượng lớn sạc nhanh 22,5W cho nhiều thiết bị điện thoại",103 Đã bán,https://www.lazada.vn/products/pdp-i2671719022.html,
Phụ kiện điện thoại & máy tính bảng,z9PCM2GN,238.000 ₫,-38%,147560,-14,4.1,Sạc dự phòng 50000mAh sạc nhanh 120W pin dung lượng lớn có dây cắm nhiều điện thoại LED,54 Đã bán,https://www.lazada.vn/products/pdp-i3098585910.html,
Smartphones,MYSON MOBILE,409.000 ₫,-27%,298570,-88,4.9,"điện thoại giá rẻ Realme 10 5G 2sim ram 8G/256G Chính Hãng, Cấu Hình khủng, Cày Gme nặng mượt,  - MSC",142 Đã bán,https://www.lazada.vn/products/pdp-i2867414503.html,
Phụ kiện điện thoại & máy tính bảng,Shop Tuấn Tử Tế,100.000 ₫,-45%,55000,,,"[SS] Sạc dự phòng, Pin dự phòng 2 cổng USB Sạc nhanh,màu trắng nhỏ gọn tiện lợi ( (tuantute2410)",,https://www.lazada.vn/products/pdp-i3167830965.html,
Phụ kiện điện thoại & máy tính bảng,TiKa Shop,300.000 ₫,-24%,228000,-12,4.7,"Sạc Dự Phòng 30000mAh 66W Siêu nhanh, Pin dự phòng dung lượng lớn sạc an toàn kiểu dáng hiện đại",44 Đã bán,https://www.lazada.vn/products/pdp-i3064879832.html,
Phụ kiện điện thoại & máy tính bảng,Sạc dự phòng thông minh 3,518.000 ₫,-56%,227920,-8,3.9,"Xạc dự phòng 50000mAh 800000mah Siêu nhanh PD20W, 120W sạc dự phòng nạp dùng 6 đầu ra 6 đầu vào có đèn LED sạc nhanh",24 Đã bán,https://www.lazada.vn/products/pdp-i3199971559.html,
Phụ kiện điện thoại & máy tính bảng,Linkee,88.000 ₫,-56%,38720,-355,4.5,Hỗ Trợ Sạc Không Dây Qi Miếng Dán Cho iPhone 7 6 Cộng Với Micro USB Loại C Phổ Quát Nhanh Sạc Không Dây Bộ Chuyển Đổi Đầu Thu Cuộn Dây,877 Đã bán,https://www.lazada.vn/products/pdp-i528582350.html,
Phụ kiện điện thoại & máy tính bảng,N6hHwUSJ,100.000 ₫,-45%,55000,-2,5,[SS] SẠC DỰ PHÒNG CAO CẤP MÀN HÌNH GƯƠNG - 2 CỔNG SẠC NHANH + ĐÈN LED SIÊU SÁNG ( (tuandeptrai241091),,https://www.lazada.vn/products/pdp-i3167891081.html,
Phụ kiện điện thoại & máy tính bảng,ProTool Hub,80.000 ₫,-43%,45600,-14,4.1,"Đèn Led Sefie Mini Cầm Tay 3 Chế Độ Sáng, Phụ Kiện Trợ Sáng Chụp Ảnh, Quay Video Chuyên Nghiệp",58 Đã bán,https://www.lazada.vn/products/pdp-i3051963642.html,
Điện,SMH,240.000 ₫,-30%,168000,-131,4.9,Thiết bị đo công suất 100A công tơ điện tử,588 Đã bán,https://www.lazada.vn/products/pdp-i815138110.html,
"Thiết bị sưởi, làm lạnh và thông gió",Tonnifu dụng cụ điện,400.000 ₫,-23%,308000,-348,4.8,"Quạt tích điện đế pin Tonnifu 21v phổ thông 8 inch, quạt xoay 2 tốc, bảo hành 06 tháng.",1.0K Đã bán,https://www.lazada.vn/products/pdp-i2825687409.html,
Thiết bị đeo thông minh,Pilot Star_VN.Selection,29.300 ₫,-23%,22561,-852,4.9,Đồng Hồ Thông Minh Thể Thao Bọ Cạp Dành Cho Nữ Màn Hình LED Tích Hợp Đầy Đủ Theo Dõi Hoạt Động Dây Đeo Cổ Tay Kỹ Thuật Số Thời Trang Tương Thích Với Android,4.2K Đã bán,https://www.lazada.vn/products/pdp-i2545488293.html,
Điện,Linh Kiện 35,263.940 ₫,-13%,229627,,,"Công tơ điện tử 1080 1 pha điện áp 220V 80A đo số điện tiêu thụ KWH nhựa ABS chống cháy, màn hình LCD",,https://www.lazada.vn/products/pdp-i2091883084.html,
Trường học & văn phòng,Kangaroo store 1595312584,81.900 ₫,-49%,41769,,,Máy tính điện tử cỡ nhỏ máy tính Màu kẹo đẹp cho học sinh máy tính lật dễ di chuyển nhỏ,,https://www.lazada.vn/products/pdp-i3076854601.html,
Điện,Samebeauty,437.100 ₫,-46%,236034,,,"AC Màn Hình 6 Trong 1 KWh Công Suất Đo Tần Số 110V 220V 380V 100A, Điện Hệ Số Công Suất Hoạt Động màn Hình HOCO",,https://www.lazada.vn/products/pdp-i3183750880.html,
Phụ kiện Máy tính,epoosuo,302.000 ₫,-60%,120800,-243,4.9,EPOOSUO | Chuột Không Dây Bluetooth Im Lặng Sạc Lại Được cho Văn Phòng và Chơi Game,,https://www.lazada.vn/products/pdp-i3205307914.html,
Điện,VOKTTA Official Store,1.321.350 ₫,-33%,885304,,,Voktta aneng AL01 cảm đa năng kế kỹ thuật số 6000 đếm True-RMS AC/Đồng hồ đo điện áp một chiều dụng cụ kiểm tra dòng điện chuyên nghiệp dụng cụ thợ điện,,https://www.lazada.vn/products/pdp-i2499065589.html,
Phụ kiện điện thoại & máy tính bảng,CÔNG TY TNHH MTV GROWN TECH,799.200 ₫,-27%,583416,-1,5,"Sạc dự phòng DEIOG DY-208 20000mAh không dây 22.5W chính hãng, sạc nhanh đa năng, đa cổng sạc",6 Đã bán,https://www.lazada.vn/products/pdp-i3126715783.html,
Điện,Plata,65.000 ₫,-25%,48750,,,"Ổ cắm điện đa năng thông minh kèm 2 cổng sạc USB đa năng và 4 lỗ cắm, Dây Cáp Dày Chất Lượng Cao 100%",,https://www.lazada.vn/products/pdp-i2587793977.html,
Điện,CH thiết bị đo điện Gex.vn,,,,-17,4.9,Công tơ điện tử 1 pha mini cài át bách khoa,129 Đã bán,https://www.lazada.vn/products/pdp-i2426916562.html,
Phụ kiện Máy tính,epoosuo,520.000 ₫,-81%,98800,-224,4.9,EPOOSUO | Chuột Không Dây Bluetooth Sạc Lại Yên Tĩnh cho Văn Phòng và Chơi Game,15 Đã bán,https://www.lazada.vn/products/pdp-i3206038635.html,
Điện,bansi08,,,,-1,5,Ổ Cắm Điện Đa Năng Thông Minh Có Cổng USB,5 Đã bán,https://www.lazada.vn/products/pdp-i838372427.html,
Dụng cụ đo lường,minhhang90,,,,,,Đồng hồ đo dòng điện 1 chiều từ 0-50mA,19 Đã bán,https://www.lazada.vn/products/pdp-i1544401402.html,
Phụ kiện Máy tính,xunmei digital,386.000 ₫,-63%,142820,-301,4.9,GOIIOG | Chuột Không Dây Bluetooth Chế Độ Đôi Sạc Im Lặng,,https://www.lazada.vn/products/pdp-i3205707841.html,
Điện,KUAIQU,999.999 ₫,-25%,749999,-13,4,Đồng Hồ Vạn Năng Thông Minh Kỹ Thuật Số UNI-T Mới 2021 Vôn Kế AC DC UT60S UT60BT 1000V Ampe Kế Đồng Hồ Vạn Năng Kiểm Tra Nhiệt Độ Tụ Điện RMS Thật,5 Đã bán,https://www.lazada.vn/products/pdp-i1644366301.html,
Phụ kiện điện thoại & máy tính bảng,UEDENSHI_SHOP,,,,-47,5,Sạc dự phòng chính hãng lỗi mạch lấy cell pin 18650 dung lượng 2.500mah siêu tiết kiệm kinh phí,119 Đã bán,https://www.lazada.vn/products/pdp-i2304439784.html,
Điện,KUAIQU,1.200.000 ₫,-45%,660000,-14,4.8,Đồng Hồ Vạn Năng Kỹ Thuật Số UNI-T UT136C + LCD Máy Đo Điện Áp DC/AC Máy Đo Dòng Điện Điện Dung Điện Trở Diode Máy Đo Vôn Kế Ampe Kế,76 Đã bán,https://www.lazada.vn/products/pdp-i505356381.html,
Điện thoại cơ bản,phukien0846899000,1.098.000 ₫,-50%,549000,-328,5,"Điện thoại 4G Nokia 105 2021-2024, 2 Sim Chuẩn Quy Định Của Bộ Thông Tin Fullbox Loa To Sóng Khỏe Pin Bền",1.5K Đã bán,https://www.lazada.vn/products/pdp-i1592471939.html,
Thiết bị nhà bếp,Ailian Small Appliances,,,,-98,4.9,AILIAN | Cốc Ép Trái Cây Điện Tử Di Động,,https://www.lazada.vn/products/pdp-i3192572522.html,
Phụ kiện Máy tính,THIẾT BỊ CÔNG NGHỆ HUY LONG,649.000 ₫,-22%,506220,-33,4.8,"Bàn phím không dây FREEWOLF M96 kết nối bằng Bluetooth và 2.4G có đèn led 7 màu, nút văn âm lượng và màn hình led mini",96 Đã bán,https://www.lazada.vn/products/pdp-i2636447362.html,
Điện,EChipTECmall,744.300 ₫,-34%,491238,,,1 Chiếc PZEM-026 Vôn Kế Kỹ Thuật Số AC Một Pha 400V 100A Thông Minh Sạc Điện Tử Vôn Kế,,https://www.lazada.vn/products/pdp-i2208456979.html,
Dụng cụ cầm tay & phụ kiện,ThaiDuongTD,226.000 ₫,-49%,115260,-7,4.7,Đồng hồ đo vạn năng Digital EXCEL DT9205A (Mẩu mới 2020-2021),19 Đã bán,https://www.lazada.vn/products/pdp-i2422272.html,
Phụ kiện Máy tính,XSmart Store,890.000 ₫,-45%,489500,-158,5,"Bàn Phím Cơ Bluetooth Không Dây K68BT Trục Cơ Red Switch Gõ Cực Đã, Thiết Kế Nhỏ Gọn Có Hotswap Có Thể Custom Kết Nối Máy Tính / Điện Thoại / Tablet",496 Đã bán,https://www.lazada.vn/products/pdp-i2075890883.html,
Điện,KUAIQU,999.999 ₫,-41%,589999,-14,5,11.11 (Sẵn Sàng) Máy Đo Vạn Năng Kỹ Thuật Số UNI-T UT136B +/UT136C + Đồng Hồ Vạn Năng Kế AC DC Vôn Kế Ampe Kế Ohm Điện Dung HFE Diode/Bóng Bán Dẫn,22 Đã bán,https://www.lazada.vn/products/pdp-i491468589.html,
Điện,Bull Socket,2.382.000 ₫,-66%,809880,-32,4.9,Bull | Ổ Cắm USB Đa Cổng Sạc Nhanh 30W,56 Đã bán,https://www.lazada.vn/products/pdp-i3193983372.html,
Điện,Thiết bị điện 123,800.000 ₫,-39%,488000,,,"Đồng hồ đa chức năng CW96 màn hình LCD hiển thị nhiều thông số điện áp, công suất, dòng điện, cos phi",,https://www.lazada.vn/products/pdp-i3053307382.html,
Smartphones,Hoàng Hà Mobile,4.290.000 ₫,-33%,2874300,-404,5,Điện thoại Xiaomi Redmi 13 (6GB/128GB) - Chính Hãng,1.4K Đã bán,https://www.lazada.vn/products/pdp-i2484389320.html,
Thiết bị nhà bếp,Elmich Vietnam,1.995.000 ₫,-53%,937650,-165,4.9,(Chỉ 25-29.10)Bếp nướng lẩu đa năng Elmich HE-3908,483 Đã bán,https://www.lazada.vn/products/pdp-i2534158948.html,
Nhà thông minh,Điện Tử Nhật Minh,350.000 ₫,-20%,280000,-325,4.8,"Công Tắc Tuya Thông Minh Wifi Smart Life (Wifi+RF433) 1,2,3,4 Nút Cảm Ứng Chữ Nhật, Công Tắc Hẹn Giờ Điều Khiển Từ Xa 10A-2200W, Hỗ Trợ Điều Khiển Giọng Nói Tiếng Việt",1.9K Đã bán,https://www.lazada.vn/products/pdp-i290882776.html,
Điện,Forwarm,159.000 ₫,-47%,84270,,,【Miễn phí vận chuyển】 NAYA ANENG DT9205A Đồng hồ vạn năng kỹ thuật số AC DC Vôn kế Ampe kế đo điện dung,15 Đã bán,https://www.lazada.vn/products/pdp-i2561349264.html,
Điện,MichanK,179.600 ₫,-57%,77228,-3,4.3,"ĐỒNG HỒ ĐO VẠN NĂNG YX-360TRn SAMWA (TẶNG KÈM PIN ),  Đồng hồ vạn năng SAMWA, Đồng hồ đo điện vạn năng",14 Đã bán,https://www.lazada.vn/products/pdp-i2733386553.html,
Phụ kiện điện thoại & máy tính bảng,Vention flagship store,915.000 ₫,-53%,430050,-1224,5,"Vention Sạc Dự Phòng 20000mAh 22.5W - 3 Cổng Sạc, Sạc Nhanh PD QC, Màn Hình LED Số, Chống Nóng - Đen / Trắng - Hàng Chính Hãng",3.9K Đã bán,https://www.lazada.vn/products/pdp-i2569230806.html,
Nhà thông minh,Hunonic Miền Nam Store,300.000 ₫,-35%,195000,-93,4.9,Bộ hồng ngoại Hunonic IR Smart - Điều khiển thiết bị từ xa qua điện thoạii,280 Đã bán,https://www.lazada.vn/products/pdp-i2589161580.html,
Nhà thông minh,Hunonic Miền Nam Store,600.000 ₫,-18%,492000,-287,4.9,Công Tắc Thông Minh Wifi Hunonic Lahu 4 Kênh - 500W/kênh điều khiển mọi thiết bị từ xa qua điện thoại,1.1K Đã bán,https://www.lazada.vn/products/pdp-i2589137650.html,
Nhà thông minh,Hunonic Miền Nam Store,700.000 ₫,-7%,651000,-34,4.8,"Công Tắc Thông Minh Lahu 04 RTC Tích Hợp IC Thời Gian Thực, Điều Khiển Từ Xa Qua Điện Thoại, Hẹn Giờ Tự Động",121 Đã bán,https://www.lazada.vn/products/pdp-i2589155610.html,
Trường học & văn phòng,Jettingbuy,44.226 ₫,-44%,24766,-12,4.5,"Jettingbuy Máy Tính Điện Tử Mini Cho Sinh Viên Đồ Dùng Văn Phòng Tính Toán Màu Kẹo,",77 Đã bán,https://www.lazada.vn/products/pdp-i860174446.html,
Điện,GlobalWonderShop,241.000 ₫,-23%,185570,-7,3.7,Ổ Cắm Tường Đa Chức Năng Có Sạc Nhanh USB Công Tắc Đường Dài Ổ Cắm Phòng Ngủ Thiết Kế Nhiều Lỗ W Cho Bảng Dây Điện,39 Đã bán,https://www.lazada.vn/products/pdp-i2901944588.html,
Điện,EChipTECmall,114.300 ₫,-40%,68580,-10,5,Máy Kiểm Tra Sạc USB Máy Đo Dòng Điện Áp Bác Sĩ Vôn Kế Ampe Kế Máy Kiểm Tra Dung Lượng Pin Máy Dò Điện Di Động,24 Đã bán,https://www.lazada.vn/products/pdp-i1630104384.html,
Nhà thông minh,Hunonic Miền Nam Store,150.000 ₫,-14%,129000,-629,4.9,"Công Tắc Thông Minh Hunonic Datic Basic, Điều Khiển Từ Xa, Hẹn Giờ Tắt/Bật, Dễ Lắp Đặt, Có Nút Cơ",2.4K Đã bán,https://www.lazada.vn/products/pdp-i2207603661.html,
Điện,TRÙM SỈ ĐIỆN NƯỚC,,,,,,"Đồng Hồ Công Tơ Điện Tử 3 Pha 4 Dây NEXUS & HỮU HỒNG Chính Hãng Có Giấy Kiểm Định, Công Suất 100A",,https://www.lazada.vn/products/pdp-i2662620092.html,
Thiết bị nhà bếp,LEBENLANG Gia dụng Đức chính hãng,380.000 ₫,-29%,269800,-29,5,"Máy vắt cam LEBENLANG LB389 máy xoay đảo 2 chiều, 700ml, công suất 40W, bảo hành 2 năm - hàng chính hãng",78 Đã bán,https://www.lazada.vn/products/pdp-i2601860803.html,
Điện,EChipTECmall,431.900 ₫,-34%,285054,,,Ampe Kế Kỹ Thuật Số DC 20A/50A/100A 8-100V Vôn Kế Điện Áp LCD 4 Trong 1 DC Và Công Suất Dòng Điện Với Đầu Dò Đồng Hồ Đo Năng Lượng Điện Shunt,,https://www.lazada.vn/products/pdp-i1633011205.html,
Điện,KUAIQU,1.100.000 ₫,-47%,583000,-3,5,"【Hàng Có Sẵn】 UNI-T Đồng Hồ Vạn Năng Kỹ Thuật Số UNI T, Máy Đo Nhiệt Độ Điện Dung Tần Số AC DC Phạm Vi Thủ Công RMS UT890C UT890D + Đèn Nền",8 Đã bán,https://www.lazada.vn/products/pdp-i1269057000.html,
Điện,Minh Khôi Electric,400.000 ₫,-18%,328000,,,"Đồng hồ vạn năng Victor VC921,đồng hồ đo điện tử,đồng hồ đa năng,đồng hồ điện tử,máy đo vạn năng,dong ho van nang,đồng hồ đo điện trở,đồng hồ vạn năng kim,đồng hồ đo vạn năng,đồng hồ đo dòng điện,đồng hồ đo tụ điện,đồng hồ đo điện trở,đồng hồ đa năng đo đ",,https://www.lazada.vn/products/pdp-i3186472107.html,
Phụ kiện Máy tính,Punstore - Gear / Audio / Hitech,,,,-16,4.9,"RICCKS RS8 - Bàn phím cơ RICCKS RS8 HIFI Mạch Xuôi , RGB , 3 MODE , QMK/VIA Chính Hãng BH 12 THÁNG",40 Đã bán,https://www.lazada.vn/products/pdp-i3025858719.html,
Thiết bị tiện ích USB,MU RAN,992.000 ₫,-50%,496000,-270,4.9,MURAN | Quạt Bàn Mini Di Động Sạc USB,,https://www.lazada.vn/products/pdp-i3193657488.html,
Phụ kiện điện thoại & máy tính bảng,Pisen Official Store 1618388268,1.010.000 ₫,-35%,656500,-6,5,"Sạc dự phòng PISEN QUICK Power Cube (LC) Digital 22.5W 10000mAh/20000mAh , sạc nhanh, an toàn, chống chai pin, chứng chỉ CCC ( 3C cho lên máy bay ) , phù hợp cho Iphone, samsung, huawei, xiaomi, Model : TP-D260/261 ....  Hàng chính hãng, bảo hành 24 tháng",20 Đã bán,https://www.lazada.vn/products/pdp-i3149210646.html,
Phụ kiện Máy tính,goojodoqstore.vn,320.000 ₫,-54%,147200,-108,4.8,chuột chơi game GOOJODOQ Chuột Không Dây 2.4Ghz Có Kết Nối Bluetooth Với Pin Cuộn,294 Đã bán,https://www.lazada.vn/products/pdp-i2106892721.html,
